displayName,rating,userRatingCount,primaryType,placeUri,address,latitude,longitude,weekdayDescriptions,nextCloseTime,neighborhood,nextCloseHour,trueCoffee,5,4,3,2,1,adjustedRating
KOF Amsterdam Coffee Roasters,4.5,180,coffee_shop,https://maps.google.com/?cid=12834393538407371771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Huidenstraat 30I, 1016 ET Amsterdam, Netherlands",52.368895599999995,4.8851448,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,144,13,5,1,17,4.2875335445865845
Back to Black,4.7,1784,food,https://maps.google.com/?cid=10287456413340688134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Weteringstraat 48, 1017 RN Amsterdam, Netherlands",52.361076999999995,4.888494,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,1458,192,61,32,41,4.641363446795177
Good Beans,4.9,502,coffee_shop,https://maps.google.com/?cid=18056186638478723781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Binnen Oranjestraat 4, 1013 JA Amsterdam, Netherlands",52.382381,4.887274199999999,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,460,23,10,4,5,4.7869753105011235
Prix d'Ami.,4.4,10207,store,https://maps.google.com/?cid=6838805495389945681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Haringpakkerssteeg 3, 1012 LR Amsterdam, Netherlands",52.3768702,4.897145699999999,"Monday: 7:00 AM - 1:00 AM
Tuesday: 7:00 AM - 1:00 AM
Wednesday: 7:00 AM - 1:00 AM
Thursday: 7:00 AM - 1:00 AM
Friday: 7:00 AM - 1:00 AM
Saturday: 7:00 AM - 1:00 AM
Sunday: 7:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,6809,1939,774,265,420,4.398502749
Hummingbird Coffee Amsterdam,4.6,894,coffee_shop,https://maps.google.com/?cid=16912688596054977832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Spuistraat 217, 1012 RN Amsterdam, Netherlands",52.3715868,4.8895102999999995,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:30 PM
Sunday: 9:00 AM - 5:30 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,716,98,38,15,27,4.575895235853423
Kaldi koffie & thee Amsterdam Herengracht,4.7,413,food_store,https://maps.google.com/?cid=10305850915157660175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Herengracht 300, 1016 CD Amsterdam, Netherlands",52.3702334,4.886512499999999,"Monday: 8:30 AM - 5:30 PM
Tuesday: 8:30 AM - 5:30 PM
Wednesday: 8:30 AM - 5:30 PM
Thursday: 8:30 AM - 5:30 PM
Friday: 8:30 AM - 6:00 PM
Saturday: 10:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM",2025-10-21T15:30:00Z,Amsterdam Centrum,17,1,329,57,16,4,8,4.608214689514678
de koffiesalon spui,4.3,1205,coffee_shop,https://maps.google.com/?cid=1116871452306062634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Spuistraat 281, 1012 VR Amsterdam, Netherlands",52.3695824,4.8890002,"Monday: 7:00 AM - 7:00 PM
Tuesday: 7:00 AM - 7:00 PM
Wednesday: 7:00 AM - 7:00 PM
Thursday: 7:00 AM - 7:00 PM
Friday: 7:00 AM - 7:00 PM
Saturday: 7:00 AM - 7:00 PM
Sunday: 7:00 AM - 7:00 PM",2025-10-21T17:00:00Z,Amsterdam Centrum,19,1,755,249,91,48,62,4.258892484418877
Coffee Culture Center,4.7,254,cafe,https://maps.google.com/?cid=18015170024222015084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Nieuwezijds Voorburgwal 133, 1012 RJ Amsterdam, Netherlands",52.3740825,4.891312999999999,"Monday: 10:00 AM - 5:00 PM
Tuesday: 10:00 AM - 5:00 PM
Wednesday: 10:00 AM - 5:00 PM
Thursday: 10:00 AM - 5:00 PM
Friday: 10:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 10:00 AM - 5:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,207,24,15,3,5,4.5538361064813095
Coffee & Cakes,4.6,1167,coffee_shop,https://maps.google.com/?cid=9808674227877766445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Warmoesstraat 133, 1012 JB Amsterdam, Netherlands",52.3738628,4.896120799999999,"Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM",2025-10-21T20:00:00Z,Amsterdam Centrum,22,1,938,115,40,21,53,4.542816800711739
white label coffee,4.5,667,coffee_shop,https://maps.google.com/?cid=12347546851632540050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Jan Evertsenstraat 136, 1056 EK Amsterdam, Netherlands",52.370431,4.851578,"Monday: 7:30 AM - 5:30 PM
Tuesday: 7:30 AM - 5:30 PM
Wednesday: 7:30 AM - 5:30 PM
Thursday: 7:30 AM - 5:30 PM
Friday: 7:30 AM - 5:30 PM
Saturday: 8:00 AM - 5:30 PM
Sunday: 8:00 AM - 5:30 PM",2025-10-21T15:30:00Z,Amsterdam Centrum,17,1,482,93,38,22,32,4.376506592035967
Luuk's Coffee Noordermarkt,4.8,917,coffee_shop,https://maps.google.com/?cid=11045848961108365584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Westerstraat 3, 1015 LT Amsterdam, Netherlands",52.3787639,4.8862575,"Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",2025-10-21T14:30:00Z,Amsterdam Centrum,16,1,809,64,17,12,15,4.740178024600238
Toki,4.5,1167,coffee_shop,https://maps.google.com/?cid=291165814650215684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Binnen Dommersstraat 15, 1013 HK Amsterdam, Netherlands",52.3829109,4.885517500000001,"Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,826,187,86,36,32,4.437441105752035
de koffie salon centrum,4.2,509,coffee_shop,https://maps.google.com/?cid=7766124347830079556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Utrechtsestraat 130-BG, 1017 VT Amsterdam, Netherlands",52.361290999999994,4.8991549999999995,"Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 7:00 AM - 6:00 PM
Sunday: 7:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,284,130,42,21,32,4.108126363269276
Kaldi Amsterdam Utrechtsestraat,4.9,492,coffee_shop,https://maps.google.com/?cid=6651395700089812166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Utrechtsestraat 129, 1017 VM Amsterdam, Netherlands",52.3616975,4.8993359,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:30 AM - 3:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,466,16,4,2,4,4.8484066617320245
coffeecompany,4.1,1780,coffee_shop,https://maps.google.com/?cid=13350948010606199250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"11, Oude Doelenstraat, 1012 ED Amsterdam, Netherlands",52.3716361,4.8967306,"Monday: 7:30 AM - 8:00 PM
Tuesday: 7:30 AM - 8:00 PM
Wednesday: 7:30 AM - 8:00 PM
Thursday: 7:30 AM - 8:00 PM
Friday: 7:30 AM - 9:00 PM
Saturday: 8:30 AM - 9:00 PM
Sunday: 8:30 AM - 8:00 PM",2025-10-21T18:00:00Z,Amsterdam Centrum,20,1,883,527,209,66,95,4.097926267141457
Coffeeshop Relax | Amsterdam Centrum,4.7,706,store,https://maps.google.com/?cid=12392756335133000111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Binnen Oranjestraat 9, 1013 HZ Amsterdam, Netherlands",52.3821959,4.8871458,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,577,73,38,3,15,4.630191449708838
illy Caffè,4.3,1813,coffee_shop,https://maps.google.com/?cid=8133513117487304981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Hasselaerssteeg 4, 1012 MB Amsterdam, Netherlands",52.377486,4.897479,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,1017,468,195,62,71,4.223578239738654
Green Place,4.3,1306,store,https://maps.google.com/?cid=14378538325403784578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Kloveniersburgwal 4, 1012 CT Amsterdam, Netherlands",52.3721177,4.8992756,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,880,214,77,25,110,4.263588224526423
Wakuli specialty coffee bar,4.5,136,cafe,https://maps.google.com/?cid=17241469667769863488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Haarlemmerplein 43, 1013 HR Amsterdam, Netherlands",52.384686599999995,4.8824398,"Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,105,9,10,6,6,4.268016278235743
Coffee & Cakes.,4.4,968,coffee_shop,https://maps.google.com/?cid=12887066011726907892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Sint Luciënsteeg 21, 1012 PM Amsterdam, Netherlands",52.3706508,4.8910036,"Monday: 10:00 AM - 7:00 PM
Tuesday: 10:00 AM - 7:00 PM
Wednesday: 10:00 AM - 7:00 PM
Thursday: 10:00 AM - 7:00 PM
Friday: 10:00 AM - 8:00 PM
Saturday: 10:00 AM - 8:00 PM
Sunday: 10:00 AM - 8:00 PM",2025-10-21T17:00:00Z,Amsterdam Centrum,19,1,715,106,50,32,65,4.350367900193233
Wakuli specialty coffee bar,4.7,82,cafe,https://maps.google.com/?cid=11275652231488648513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Vijzelgracht 37, 1017 HP Amsterdam, Netherlands",52.3608019,4.8914608,"Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,72,3,2,1,4,4.398479626441798
Elevate Coffee Lab,4.9,256,coffee_shop,https://maps.google.com/?cid=7460890059459287704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Van der Helstplein 10H, 1072 PH Amsterdam, Netherlands",52.3515732,4.8945191999999995,"Monday: Closed
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 8:30 AM - 5:00 PM
Sunday: 8:30 AM - 5:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,244,6,1,1,4,4.7927390506609955
Abraxas,4.6,5756,store,https://maps.google.com/?cid=566715139965854026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Jonge Roelensteeg 12-14, 1012 PL Amsterdam, Netherlands",52.3721009,4.8912195999999994,"Monday: 9:30 AM - 1:00 AM
Tuesday: 9:30 AM - 1:00 AM
Wednesday: 9:30 AM - 1:00 AM
Thursday: 9:30 AM - 1:00 AM
Friday: 9:30 AM - 1:00 AM
Saturday: 9:30 AM - 1:00 AM
Sunday: 9:30 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,4221,1035,281,86,133,4.565603052
Sango Specialty Coffee Roasters,4.7,1034,food,https://maps.google.com/?cid=8425108917556132359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Stromarkt 15, 1012 MZ Amsterdam, Netherlands",52.3785368,4.8945098,"Monday: 8:30 AM - 4:00 PM
Tuesday: 8:30 AM - 4:00 PM
Wednesday: 8:30 AM - 4:00 PM
Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM",,Amsterdam Centrum,,1,865,103,21,16,29,4.650173966895314
Kooi Coffeeshop,4.5,928,coffee_shop,https://maps.google.com/?cid=9172022357203964521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Amstelstraat 35, 1017 DA Amsterdam, Netherlands",52.3662393,4.8994313,"Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,662,173,37,23,33,4.457240572
Coffeeshop Amsterdam,4.5,2316,store,https://maps.google.com/?cid=18172252392115299358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Haarlemmerstraat 44, 1013 ES Amsterdam, Netherlands",52.3800848,4.8929082,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,1613,442,131,34,96,4.449511551846021
Haku Specialty Coffee,4.8,375,food_store,https://maps.google.com/?cid=6154733505273622538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Rozengracht 69, 1016 LT Amsterdam, Netherlands",52.373287999999995,4.880800499999999,"Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,329,23,8,6,9,4.659689486379208
Coffeeshopamsterdam Café,4.6,1082,coffee_shop,https://maps.google.com/?cid=515847854484118816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Singel 8, 1013 GA Amsterdam, Netherlands",52.379164,4.893925299999999,"Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,750,246,51,11,24,4.510570477114874
Coffee and cakes Amsterdam | Tea | Matcha | Chai | WIFI | Muffin,4.6,310,coffee_shop,https://maps.google.com/?cid=2653911738953121872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Singel 369, 1012 WL Amsterdam, Netherlands",52.369185300000005,4.8882686,"Monday: 10:00 AM - 7:00 PM
Tuesday: 10:00 AM - 7:00 PM
Wednesday: 10:00 AM - 7:00 PM
Thursday: 10:00 AM - 7:00 PM
Friday: 10:00 AM - 7:00 PM
Saturday: 10:00 AM - 7:00 PM
Sunday: 10:00 AM - 7:00 PM",2025-10-21T17:00:00Z,Amsterdam Centrum,19,1,257,22,8,4,19,4.468300105364597
