displayName,rating,userRatingCount,primaryType,placeUri,address,latitude,longitude,weekdayDescriptions,nextCloseTime,nextCloseHour,trueCoffee,5,4,3,2,1,adjustedRating
Five Ways Coffee Roasters,4.7,556,brunch_restaurant,https://maps.google.com/?cid=8361652983497465977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Boerhaaveplein 3, 1091 DH Amsterdam, Netherlands",52.3598712,4.9123059,"Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-08-11T15:00:00Z,17,1,462,55,17,2,20,4.609296986179499
LOT61 Amsterdam Centraal Station,4.4,740,coffee_shop,https://maps.google.com/?cid=4810359084861603137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Oosterdoksstraat 4, 1011 DK Amsterdam, Netherlands",52.376894,4.9043325,"Monday: 6:30 AM - 9:00 PM
Tuesday: 6:30 AM - 9:00 PM
Wednesday: 6:30 AM - 9:00 PM
Thursday: 6:30 AM - 9:00 PM
Friday: 6:30 AM - 9:00 PM
Saturday: 7:00 AM - 9:00 PM
Sunday: 7:00 AM - 9:00 PM",2025-08-11T19:00:00Z,21,1,525,97,42,31,45,4.307015964803304
Coffee & Cakes,4.6,1137,coffee_shop,https://maps.google.com/?cid=9808674227877766445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Warmoesstraat 133, 1012 JB Amsterdam, Netherlands",52.3738628,4.896120799999999,"Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM",2025-08-11T20:00:00Z,22,1,924,108,39,18,48,4.56609703618995
Barney's Coffeeshop Amsterdam THC Cannabis Dispensary,4.6,4782,store,https://maps.google.com/?cid=16644677838783126486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Haarlemmerstraat 102, 1013 EW Amsterdam, Netherlands",52.3806892,4.8908553,"Monday: 9:00 AM - 1:00 AM
Tuesday: 9:00 AM - 1:00 AM
Wednesday: 9:00 AM - 1:00 AM
Thursday: 9:00 AM - 1:00 AM
Friday: 9:00 AM - 1:00 AM
Saturday: 9:00 AM - 1:00 AM
Sunday: 9:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,3543,787,229,83,140,4.547502860722433
Coffee Shop,4.5,95,coffee_shop,https://maps.google.com/?cid=3497098841906748640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Utrechtsestraat 27HS, 1017 VH Amsterdam, Netherlands",52.3647762,4.8980473,"Monday: 8:00 AM - 11:30 PM
Tuesday: 8:00 AM - 11:30 PM
Wednesday: 8:00 AM - 11:30 PM
Thursday: 8:00 AM - 11:30 PM
Friday: 8:00 AM - 11:30 PM
Saturday: 8:00 AM - 11:30 PM
Sunday: 8:00 AM - 11:30 PM",2025-08-11T21:30:00Z,23,0,69,16,3,1,6,4.224112438168756
Coffee & Bites,4.6,656,breakfast_restaurant,https://maps.google.com/?cid=5284912426198355488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Plantage Middenlaan 44-HS, 1018 DH Amsterdam, Netherlands",52.3659455,4.9125044,"Monday: 8:30 AM - 4:00 PM
Tuesday: 8:30 AM - 4:00 PM
Wednesday: 8:30 AM - 4:00 PM
Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 8:30 AM - 4:00 PM",2025-08-11T14:00:00Z,16,1,514,69,30,14,29,4.485849644348592
Kaldi Amsterdam Utrechtsestraat,4.9,479,coffee_shop,https://maps.google.com/?cid=6651395700089812166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Utrechtsestraat 129, 1017 VM Amsterdam, Netherlands",52.3616975,4.8993359,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:30 AM - 3:00 PM",2025-08-11T15:00:00Z,17,1,455,15,3,2,4,4.851191895602962
KOF Amsterdam Coffee Roasters,4.5,160,coffee_shop,https://maps.google.com/?cid=12834393538407371771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Huidenstraat 30I, 1016 ET Amsterdam, Netherlands",52.3688956,4.8851448,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,127,12,4,1,16,4.249525549824857
Prix d'Ami.,4.4,10038,store,https://maps.google.com/?cid=6838805495389945681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Haringpakkerssteeg 3, 1012 LR Amsterdam, Netherlands",52.3768702,4.897145699999999,"Monday: 7:00 AM - 1:00 AM
Tuesday: 7:00 AM - 1:00 AM
Wednesday: 7:00 AM - 1:00 AM
Thursday: 7:00 AM - 1:00 AM
Friday: 7:00 AM - 1:00 AM
Saturday: 7:00 AM - 1:00 AM
Sunday: 7:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,6687,1916,771,259,406,4.399350337301826
Good Beans,4.8,477,coffee_shop,https://maps.google.com/?cid=18056186638478723781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Binnen Oranjestraat 4, 1013 JA Amsterdam, Netherlands",52.382381,4.887274199999999,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM",2025-08-11T15:00:00Z,17,1,437,21,10,4,5,4.780328982432145
Coffee shop,4.5,31,coffee_shop,https://maps.google.com/?cid=5536902477587549596&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Blues Brothers Coffee Shop, Amstel 54HS, 1017 AB Amsterdam, Netherlands",52.3669351,4.8956979,"Monday: 9:30 AM - 5:00 PM
Tuesday: 9:30 AM - 5:00 PM
Wednesday: 9:30 AM - 5:00 PM
Thursday: 9:30 AM - 5:00 PM
Friday: 9:30 AM - 5:00 PM
Saturday: 9:30 AM - 5:00 PM
Sunday: 10:00 AM - 6:00 PM",2025-08-11T15:00:00Z,17,1,25,3,0,0,3,3.944899585164132
Back to Black,4.7,1714,,https://maps.google.com/?cid=10287456413340688134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Weteringstraat 48, 1017 RN Amsterdam, Netherlands",52.361077,4.888494,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,1396,192,60,30,37,4.645026840022299
Sango Specialty Coffee Roasters,4.7,982,,https://maps.google.com/?cid=8425108917556132359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Stromarkt 15, 1012 MZ Amsterdam, Netherlands",52.3785368,4.8945098,"Monday: 8:30 AM - 4:00 PM
Tuesday: 8:30 AM - 4:00 PM
Wednesday: 8:30 AM - 4:00 PM
Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM",2025-08-11T14:00:00Z,16,1,831,93,18,16,24,4.670940839897939
Luuk's Coffee Vijzelgracht,4.7,284,coffee_shop,https://maps.google.com/?cid=4240338882888545458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Vijzelgracht 49, 1017 HP Amsterdam, Netherlands",52.360563500000005,4.8914177,"Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:30 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",2025-08-11T14:30:00Z,16,1,243,15,9,8,9,4.551645740575264
Coffeeshop IBIZA,4.3,2426,store,https://maps.google.com/?cid=325745987530761291&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Hemonystraat 16, 1074 BP Amsterdam, Netherlands",52.3574448,4.9020715,"Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,1595,400,204,66,161,4.278274856687074
Green Place,4.3,1285,store,https://maps.google.com/?cid=14378538325403784578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Kloveniersburgwal 4, 1012 CT Amsterdam, Netherlands",52.3721177,4.8992756,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,867,209,76,25,108,4.263671327122182
YUSU,4.6,1004,coffee_shop,https://maps.google.com/?cid=7833120867751023708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Andreas Bonnstraat 2, 1091 AX Amsterdam, Netherlands",52.3598821,4.9110865,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,781,130,50,22,21,4.568918496268186
Coffee Bru,4.5,738,coffee_shop,https://maps.google.com/?cid=6857746182893061174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Beukenplein 14, 1091 KG Amsterdam, Netherlands",52.3570888,4.9177033,"Monday: 7:30 AM - 4:00 PM
Tuesday: 7:30 AM - 4:00 PM
Wednesday: 7:30 AM - 4:00 PM
Thursday: 7:30 AM - 4:00 PM
Friday: 7:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 8:30 AM - 4:00 PM",2025-08-11T14:00:00Z,16,1,500,169,47,13,9,4.48275463793588
coffeecompany,4.1,1753,coffee_shop,https://maps.google.com/?cid=13350948010606199250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"11, Oude Doelenstraat, 1012 ED Amsterdam, Netherlands",52.3716361,4.8967306,"Monday: 7:30 AM - 7:30 PM
Tuesday: 7:30 AM - 7:30 PM
Wednesday: 7:30 AM - 7:30 PM
Thursday: 7:30 AM - 7:30 PM
Friday: 7:30 AM - 8:30 PM
Saturday: 8:30 AM - 8:30 PM
Sunday: 8:30 AM - 7:30 PM",2025-08-11T17:30:00Z,19,1,868,522,204,66,94,4.0981742608449325
Chapo Amsterdam,4.8,60,coffee_shop,https://maps.google.com/?cid=3833706606732370756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Kerkstraat 155, 1017 GG Amsterdam, Netherlands",52.3634368,4.8888845,"Monday: 9:00 AM - 5:00 PM
Tuesday: 9:00 AM - 5:00 PM
Wednesday: 9:00 AM - 5:00 PM
Thursday: 9:00 AM - 5:00 PM
Friday: 9:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",2025-08-11T15:00:00Z,17,1,56,0,1,2,1,4.465506825400659
Coffee & Ice Cream by Capital Kitchen,5.0,18,coffee_shop,https://maps.google.com/?cid=11094384432686602295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Weesperplein 4A, 1018 XA Amsterdam, Netherlands",52.3619902,4.9069378,"Monday: 8:00 AM - 8:00 PM
Tuesday: 8:00 AM - 8:00 PM
Wednesday: 8:00 AM - 8:00 PM
Thursday: 8:00 AM - 8:00 PM
Friday: 8:00 AM - 8:00 PM
Saturday: Closed
Sunday: Closed",2025-08-11T18:00:00Z,20,1,18,0,0,0,0,4.209523429158525
Strain Hunters Coffeeshop,4.4,563,coffee_shop,https://maps.google.com/?cid=5226085297297991484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Singel 387, 1012 WN Amsterdam, Netherlands",52.3687577,4.8882697,"Monday: 9:00 AM - 1:00 AM
Tuesday: 9:00 AM - 1:00 AM
Wednesday: 9:00 AM - 1:00 AM
Thursday: 9:00 AM - 1:00 AM
Friday: 9:00 AM - 1:00 AM
Saturday: 9:00 AM - 1:00 AM
Sunday: 9:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,383,100,33,10,37,4.298699428242654
Hunter's Coffeeshop Amsterdam Downtown,4.4,1531,store,https://maps.google.com/?cid=13356180156668274454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Utrechtsestraat 14, 1017 VN Amsterdam, Netherlands",52.3654954,4.8975366,"Monday: 9:00 AM - 1:00 AM
Tuesday: 9:00 AM - 1:00 AM
Wednesday: 9:00 AM - 1:00 AM
Thursday: 9:00 AM - 1:00 AM
Friday: 9:00 AM - 1:00 AM
Saturday: 9:00 AM - 1:00 AM
Sunday: 9:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,1046,292,92,26,75,4.3940381357150775
Coffeeshop Amsterdam,4.5,2290,store,https://maps.google.com/?cid=18172252392115299358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Haarlemmerstraat 44, 1013 ES Amsterdam, Netherlands",52.3800848,4.8929082,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,1593,442,129,34,92,4.45243757610115
Back to Black,4.7,562,coffee_shop,https://maps.google.com/?cid=2757951390767131292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Van Hallstraat 268, 1051 HM Amsterdam, Netherlands",52.3793993,4.8714727,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,458,66,18,7,13,4.617145553567534
Wakuli specialty coffee bar,4.7,71,cafe,https://maps.google.com/?cid=11275652231488648513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Vijzelgracht 37, 1017 HP Amsterdam, Netherlands",52.3608019,4.8914608,"Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,63,3,1,1,3,4.409758802678319
Quartier Putain,4.4,1177,breakfast_restaurant,https://maps.google.com/?cid=2297549056591729758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Oudekerksplein 4, 1012 GZ Amsterdam, Netherlands",52.3746117,4.898705,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 12:00 AM
Saturday: 9:00 AM - 12:00 AM
Sunday: 9:00 AM - 6:00 PM",2025-08-11T16:00:00Z,18,1,753,286,82,23,33,4.39644763128852
Café Maha Amsterdam,4.5,61,coffee_shop,https://maps.google.com/?cid=11351862092541696172&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Vijzelstraat 103h, 1017 HH Amsterdam, Netherlands",52.363139800000006,4.8923606,"Monday: 8:30 AM - 4:30 PM
Tuesday: 8:30 AM - 4:30 PM
Wednesday: 8:30 AM - 4:30 PM
Thursday: 8:30 AM - 4:30 PM
Friday: 8:30 AM - 4:30 PM
Saturday: 10:00 AM - 5:00 PM
Sunday: 11:00 AM - 5:00 PM",2025-08-11T14:30:00Z,16,1,46,7,2,3,3,4.124000445764421
Coffee & Cakes.,4.4,941,coffee_shop,https://maps.google.com/?cid=12887066011726907892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Sint Luciënsteeg 21, 1012 PM Amsterdam, Netherlands",52.3706508,4.8910036,"Monday: 10:00 AM - 7:00 PM
Tuesday: 10:00 AM - 7:00 PM
Wednesday: 10:00 AM - 7:00 PM
Thursday: 10:00 AM - 7:00 PM
Friday: 10:00 AM - 8:00 PM
Saturday: 10:00 AM - 8:00 PM
Sunday: 10:00 AM - 8:00 PM",2025-08-11T17:00:00Z,19,1,697,103,48,30,64,4.356376380025914
Coffeeshopamsterdam Café,4.6,1068,coffee_shop,https://maps.google.com/?cid=515847854484118816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Singel 8, 1013 GA Amsterdam, Netherlands",52.379164,4.893925299999999,"Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM",2025-08-11T23:00:00Z,1,0,738,244,52,11,23,4.508286992026479
